frac_migration1  frac_migration2  logmhcrit  prob1  prob2  ssfr1  ssfr2  lnprob
0.7271  0.5307  12.4926  0.2541  0.9927  -11.0476  -9.9536  -0.3686
0.1240  0.6822  12.3751  0.1317  0.8545  -11.0609  -9.3438  -0.1299
0.7275  0.4027  12.3133  0.6959  0.1385  -11.0071  -9.6976  -0.0899
0.9336  0.6494  12.6099  0.1445  0.5600  -11.1089  -9.3763  -0.2249
0.4365  0.5894  12.7137  0.8214  0.9548  -10.8019  -9.1830  -0.1328
0.6144  0.8651  12.2837  0.4517  0.4948  -10.7655  -9.0928  -0.0715
0.9140  0.3787  12.0225  0.5668  0.3796  -11.2273  -9.7332  -inf
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.1784  0.8811  12.5817  0.7563  0.1405  -10.8582  -9.0519  -0.3893
0.4434  0.4368  12.5793  0.6319  0.7010  -11.1443  -9.7327  -0.0759
0.4659  0.6115  12.6515  0.0831  0.3853  -11.0770  -9.9418  -0.0769
0.9931  0.8383  12.3360  0.6454  0.1128  -11.0320  -9.2560  -0.0607
0.3036  0.2675  12.2881  0.5328  0.5999  -10.9771  -9.3533  -0.1125
0.5649  0.8032  12.3291  0.3075  0.9705  -10.9949  -9.4760  -0.2491
0.7271  0.5307  12.4926  0.2541  0.9927  -11.0476  -9.9536  -0.3686
0.1240  0.6822  12.3751  0.1317  0.8545  -11.0609  -9.3438  -0.1299
0.7275  0.4027  12.3133  0.6959  0.1385  -11.0071  -9.6976  -0.0899
0.8060  0.5720  12.5447  0.2232  0.5681  -11.0822  -9.3716  -0.1841
0.4365  0.5894  12.7137  0.8214  0.9548  -10.8019  -9.1830  -0.1328
0.5783  0.8676  12.2788  0.4332  0.5313  -10.7401  -9.0773  -0.0750
0.9140  0.3787  12.0225  0.5668  0.3796  -11.2273  -9.7332  -inf
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.1730  0.8614  12.5613  0.6946  0.2111  -10.8783  -9.0807  -0.3124
0.4434  0.4368  12.5793  0.6319  0.7010  -11.1443  -9.7327  -0.0759
0.4659  0.6115  12.6515  0.0831  0.3853  -11.0770  -9.9418  -0.0769
0.9931  0.8383  12.3360  0.6454  0.1128  -11.0320  -9.2560  -0.0607
0.2070  0.2367  12.2823  0.4956  0.7050  -10.9703  -9.2748  -0.1353
0.5676  0.8162  12.3190  0.3328  0.8820  -10.9436  -9.3956  -0.2137
0.7420  0.5270  12.4955  0.2571  0.9962  -11.0472  -9.9687  -0.3777
0.1196  0.7060  12.3800  0.1123  0.8625  -11.0657  -9.3474  -0.1288
0.6571  0.4609  12.3448  0.6958  0.1477  -10.9907  -9.6193  -0.1026
0.8060  0.5720  12.5447  0.2232  0.5681  -11.0822  -9.3716  -0.1841
0.4365  0.5894  12.7137  0.8214  0.9548  -10.8019  -9.1830  -0.1328
0.5783  0.8676  12.2788  0.4332  0.5313  -10.7401  -9.0773  -0.0750
0.5693  0.6032  12.2731  0.6262  0.3012  -11.0649  -9.4297  -0.0602
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.1730  0.8614  12.5613  0.6946  0.2111  -10.8783  -9.0807  -0.3124
0.4322  0.4219  12.6066  0.6324  0.7367  -11.1514  -9.7597  -0.0783
0.4659  0.6115  12.6515  0.0831  0.3853  -11.0770  -9.9418  -0.0769
0.9931  0.8383  12.3360  0.6454  0.1128  -11.0320  -9.2560  -0.0607
0.2070  0.2367  12.2823  0.4956  0.7050  -10.9703  -9.2748  -0.1353
0.5676  0.8162  12.3190  0.3328  0.8820  -10.9436  -9.3956  -0.2137
0.7420  0.5270  12.4955  0.2571  0.9962  -11.0472  -9.9687  -0.3777
0.1258  0.7240  12.4010  0.1797  0.7871  -11.0440  -9.3166  -0.1274
0.6571  0.4609  12.3448  0.6958  0.1477  -10.9907  -9.6193  -0.1026
0.8060  0.5720  12.5447  0.2232  0.5681  -11.0822  -9.3716  -0.1841
0.4365  0.5894  12.7137  0.8214  0.9548  -10.8019  -9.1830  -0.1328
0.5783  0.8676  12.2788  0.4332  0.5313  -10.7401  -9.0773  -0.0750
0.5693  0.6032  12.2731  0.6262  0.3012  -11.0649  -9.4297  -0.0602
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.1730  0.8614  12.5613  0.6946  0.2111  -10.8783  -9.0807  -0.3124
0.4322  0.4219  12.6066  0.6324  0.7367  -11.1514  -9.7597  -0.0783
0.4659  0.6115  12.6515  0.0831  0.3853  -11.0770  -9.9418  -0.0769
0.9931  0.8383  12.3360  0.6454  0.1128  -11.0320  -9.2560  -0.0607
0.2070  0.2367  12.2823  0.4956  0.7050  -10.9703  -9.2748  -0.1353
0.5676  0.8162  12.3190  0.3328  0.8820  -10.9436  -9.3956  -0.2137
0.7420  0.5270  12.4955  0.2571  0.9962  -11.0472  -9.9687  -0.3777
0.2706  0.7542  12.3741  0.2299  0.8182  -11.0111  -9.3425  -0.1090
0.3422  0.1071  12.3530  0.7430  0.1804  -10.9521  -9.9599  -0.1756
0.8060  0.5720  12.5447  0.2232  0.5681  -11.0822  -9.3716  -0.1841
0.4365  0.5894  12.7137  0.8214  0.9548  -10.8019  -9.1830  -0.1328
0.5783  0.8676  12.2788  0.4332  0.5313  -10.7401  -9.0773  -0.0750
0.7211  0.6874  12.2957  0.6331  0.2337  -11.0531  -9.3675  -0.0406
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.1730  0.8614  12.5613  0.6946  0.2111  -10.8783  -9.0807  -0.3124
0.5187  0.1115  12.5942  0.9874  0.8534  -11.3407  -9.8431  -0.1581
0.4659  0.6115  12.6515  0.0831  0.3853  -11.0770  -9.9418  -0.0769
0.9931  0.8383  12.3360  0.6454  0.1128  -11.0320  -9.2560  -0.0607
0.2070  0.2367  12.2823  0.4956  0.7050  -10.9703  -9.2748  -0.1353
0.5642  0.8000  12.3316  0.3012  0.9922  -11.0075  -9.4956  -0.2625
0.7516  0.5338  12.5029  0.2520  0.9319  -11.0525  -9.8790  -0.3541
0.2132  0.7475  12.3771  0.1969  0.8743  -11.0094  -9.3494  -0.1351
0.3422  0.1071  12.3530  0.7430  0.1804  -10.9521  -9.9599  -0.1756
0.8060  0.5720  12.5447  0.2232  0.5681  -11.0822  -9.3716  -0.1841
0.4365  0.5894  12.7137  0.8214  0.9548  -10.8019  -9.1830  -0.1328
0.5782  0.8675  12.2789  0.4331  0.5312  -10.7402  -9.0775  -0.0737
